Unit,Samplesy,IgG,ActiveInfection,Prevalence,CIR
Ballari,406,22.1,22,33.1,49
Davanagere,412,16.4,29.2,40.6,62
Udupi,439,16.2,22.8,36.4,33
Vijayapura,381,23.9,13.9,35.4,111
Raichur,404,22.8,12.1,34.1,76
Chikmagalur,436,12,21,31.8,54
Yadgir,422,15.4,18.6,31.6,61
Hassan,410,8.2,16.2,30.7,44
Belgaum,430,23.7,6.4,30.1,95
Kalaburagi,425,17.1,14.5,29.8,59
Bengaluru-Urban,*,15,9.8,29.8,10
Tumakuru,429,6.8,15.2,29.4,82
Ramanagar,408,13.9,16.2,29.3,75
Bengaluru-Rural,432,15.2,16.5,28.7,46
Haveri,417,14.8,14.6,28.6,71
Mysuru,402,18.8,8.4,27.2,33
Dakshina-Kannada,430,14.5,13.5,27,34
Chitradurga,411,10.2,11,25.9,85
Mandya,414,18.5,6.7,25.3,54
Koppal,427,19.6,2.7,22.3,38
Shivamogga,426,7.7,13.7,21.4,30
Chamarajanagar,383,15.8,6.6,21.1,71
Kodagu,412,12,8.7,20.5,55
Bidar,407,18,0.7,18.7,64
Uttara-Kannada,419,8.1,8.7,16.3,32
Kolar,431,10.1,6.8,16.1,58
Chikkaballapur,412,6.4,5.9,12.1,27
Bagalkot,401,4.1,9.7,12,30
Gadag,341,6.3,2.7,9,13
Dharwad,440,7.1,2,8.7,12
BBMP-Bommanahalli,*,12.5,14.4,28.4,17
BBMP-Dasarahalli,*,13.8,5.9,19.4,12
BBMP-East,*,15.5,1.3,26.5,20
BBMP-Mahadevpura,*,7,7.2,14,11
BBMP-RR-Nagar,*,9.1,11.4,29.3,20
BBMP-South,*,20.9,5.7,38.9,32
BBMP-West,*,25.1,8.2,45.6,21
BBMP-Yelahanka,*,13.9,5.1,18.2,10
